3.80102,0.23914,.
3.77851,0.477336,.
3.77557,0.5,*
3.73673,0.736084,.
3.68314,0.969262,.
3.61501,1.19862,.
3.53261,1.42324,.
3.50071,1.5,*
3.39962,1.71685,.
3.2851,1.92693,.
3.15763,2.1294,.
3.01769,2.32347,.
2.87314,2.5,*
2.7105,2.67547,.
2.53715,2.84039,.
2.3538,2.99409,.
2.16115,3.13598,.
1.95998,3.26549,.
1.75107,3.38211,.
1.53525,3.48539,.
1.50164,3.5,*
1.27891,3.58738,.
1.05113,3.66061,.
0.819206,3.71938,.
0.584047,3.76348,.
0.346583,3.79273,.
0.107751,3.80701,.
-0.131506,3.80626,.
-0.370244,3.79049,.
-0.60752,3.75976,.
-0.8424,3.7142,.
-1.07395,3.65397,.
-1.30127,3.57933,.
-1.50163,3.5,*
-1.71843,3.39881,.
-1.92846,3.2842,.
-2.13087,3.15663,.
-2.32487,3.0166,.
-2.5097,2.86467,.
-2.68462,2.70143,.
-2.84894,2.52753,.
-2.87313,2.5,*
-3.02444,2.31466,.
-3.16381,2.12019,.
-3.2907,1.91735,.
-3.40459,1.70694,.
-3.5007,1.5,*
-3.58798,1.27723,.
-3.6611,1.04942,.
-3.71977,0.817464,.
-3.76376,0.582284,.
-3.77557,0.5,*
-3.79951,0.261943,.
-3.80846,0.0228524,.
-3.80238,-0.216329,.
-3.7813,-0.454656,.
-3.77557,-0.5,*
-3.73673,-0.736084,.
-3.68313,-0.969263,.
-3.61501,-1.19862,.
-3.53261,-1.42324,.
-3.50071,-1.5,*
-3.39961,-1.71685,.
-3.2851,-1.92693,.
-3.15763,-2.1294,.
-3.01769,-2.32347,.
-2.87315,-2.5,*
-2.7105,-2.67547,.
-2.53716,-2.84039,.
-2.3538,-2.99409,.
-2.16116,-3.13598,.
-1.95998,-3.26549,.
-1.75107,-3.38212,.
-1.53525,-3.48539,.
-1.50166,-3.5,*
-1.27893,-3.58738,.
-1.05115,-3.66061,.
-0.819224,-3.71939,.
-0.584065,-3.76349,.
-0.346601,-3.79274,.
-0.107769,-3.80701,.
0.131488,-3.80627,.
0.370226,-3.7905,.
0.607503,-3.75978,.
0.842382,-3.71421,.
1.07394,-3.65399,.
1.30125,-3.57934,.
1.50166,-3.5,*
1.71846,-3.3988,.
1.92848,-3.28419,.
2.13089,-3.15662,.
2.32489,-3.01659,.
2.50972,-2.86466,.
2.68464,-2.70142,.
2.84897,-2.52752,.
2.87315,-2.5,*
3.02445,-2.31466,.
3.16382,-2.12019,.
3.29071,-1.91734,.
3.40461,-1.70694,.
3.50071,-1.5,*
3.58799,-1.27723,.
3.66111,-1.04942,.
3.71977,-0.817463,.
3.76376,-0.582284,.
3.77557,-0.5,*
3.79952,-0.261943,.
3.80847,-0.0228523,.
3.80239,0.216329,.
3.7813,0.454656,.
3.77557,0.5,*
3.73673,0.736084,.
3.68314,0.969262,.
3.61501,1.19862,.
3.53261,1.42324,.
3.50071,1.5,*
3.39962,1.71685,.
3.2851,1.92693,.
3.15763,2.1294,.
3.01769,2.32347,.
2.87314,2.5,*
2.7105,2.67547,.
2.53715,2.84039,.
2.3538,2.99409,.
2.16115,3.13598,.
1.95998,3.26549,.
1.75107,3.38211,.
1.53525,3.48539,.
1.50164,3.5,*
1.27891,3.58738,.
1.05113,3.66061,.
0.819206,3.71938,.
0.584047,3.76348,.
0.346583,3.79273,.
0.107751,3.80701,.
-0.131506,3.80626,.
-0.370244,3.79049,.
-0.60752,3.75976,.
-0.8424,3.7142,.
-1.07395,3.65397,.
-1.30127,3.57933,.
-1.50163,3.5,*
-1.71843,3.39881,.
-1.92846,3.2842,.
-2.13087,3.15663,.
-2.32487,3.0166,.
-2.5097,2.86467,.
-2.68462,2.70143,.
-2.84894,2.52753,.
-2.87313,2.5,*
-3.02444,2.31466,.
-3.16381,2.12019,.
-3.2907,1.91735,.
-3.40459,1.70694,.
-3.5007,1.5,*
-3.58798,1.27723,.
-3.6611,1.04942,.
-3.71977,0.817464,.
-3.76376,0.582284,.
-3.77557,0.5,*
-3.79951,0.261943,.
-3.80846,0.0228524,.
-3.80238,-0.216329,.
-3.7813,-0.454656,.
-3.77557,-0.5,*
-3.73673,-0.736084,.
-3.68313,-0.969263,.
-3.61501,-1.19862,.
-3.53261,-1.42324,.
-3.50071,-1.5,*
-3.39961,-1.71685,.
-3.2851,-1.92693,.
-3.15763,-2.1294,.
-3.01769,-2.32347,.
-2.87315,-2.5,*
-2.7105,-2.67547,.
-2.53716,-2.84039,.
-2.3538,-2.99409,.
-2.16116,-3.13598,.
-1.95998,-3.26549,.
-1.75107,-3.38212,.
-1.53525,-3.48539,.
-1.50166,-3.5,*
-1.27893,-3.58738,.
-1.05115,-3.66061,.
-0.819224,-3.71939,.
-0.584065,-3.76349,.
-0.346601,-3.79274,.
-0.10777,-3.80701,.
0.131488,-3.80627,.
0.370226,-3.7905,.
0.607503,-3.75978,.
0.842382,-3.71421,.
1.07394,-3.65399,.
1.30125,-3.57934,.
1.50166,-3.5,*
1.71846,-3.3988,.
